S1;S2;S3;Millis
4.16;1.99;1.05;23268
4.38;2.05;0.73;23472
5.00;1.96;0.52;23676
4.84;1.87;0.48;23880
4.10;1.96;0.38;24084
3.88;2.14;0.60;24288
3.23;2.23;0.78;24493
3.80;2.14;0.83;24697
4.22;1.79;0.68;24901
4.07;2.14;0.73;25105
4.36;1.96;0.88;25309
4.36;1.96;0.83;25513
4.22;1.96;0.80;25717
3.80;2.23;0.90;25921
3.80;2.33;0.90;26125
3.28;2.23;0.93;26329
3.04;2.05;1.05;26533
2.81;1.79;1.11;26737
3.16;1.79;0.88;26941
3.80;1.70;0.52;27145
2.99;1.55;0.38;27350
3.35;1.62;0.30;27554
3.11;1.67;0.42;27758
2.81;1.75;0.49;27962
3.41;1.59;0.36;28166
3.23;1.67;0.30;28370
2.99;1.59;0.33;28574
3.35;1.83;0.56;28778
3.48;1.97;0.73;28982
3.61;2.25;0.88;29187
2.93;2.45;1.08;29391
3.66;2.25;1.28;29595
3.80;2.15;1.35;29799
2.93;1.34;0.76;30003
3.09;1.48;0.76;30208
2.54;1.64;0.81;30412
2.64;1.64;0.86;30616
3.72;1.88;0.86;30820
3.28;1.88;1.00;31024
3.16;1.80;1.08;31228
3.46;1.72;0.94;31432
3.72;1.48;0.64;31636
3.02;1.34;0.74;31840
3.19;0.96;0.79;32045
3.70;0.98;0.62;32249
3.97;0.68;0.50;32453
3.57;0.74;0.71;32657
2.32;0.74;0.97;32861
3.97;1.36;1.69;33065
5.35;1.66;1.46;33269
6.33;1.74;0.86;33473
7.02;2.09;0.54;33677
6.82;2.09;0.68;33881
4.88;2.43;0.93;34085
5.99;2.43;1.05;34289
6.55;2.05;1.38;34493
7.54;1.96;1.24;34697
7.46;2.14;0.97;34902
7.25;3.09;1.21;35106
6.39;3.46;1.15;35310
6.97;3.93;1.28;35514
6.10;4.07;1.64;35718
5.57;3.88;1.64;35922
6.66;3.74;1.89;36126
6.66;3.11;2.03;36330
7.25;2.77;2.42;36534
7.88;2.49;2.42;36739
7.67;2.81;2.22;36943
7.46;2.81;1.89;37147
7.25;2.93;1.86;37351
8.09;2.93;1.57;37555
7.97;3.28;1.35;37760
7.54;3.93;1.57;37964
7.34;3.72;1.60;38168
7.02;3.85;1.38;38372
7.02;3.39;1.76;38576
6.63;3.91;1.93;38780
6.25;3.64;2.25;38984
6.07;3.64;2.25;39188
6.15;3.44;2.34;39392
6.15;3.19;2.25;39597
5.79;2.96;2.44;39801
5.79;2.32;2.15;40005
5.27;1.81;1.83;40209
4.05;1.81;1.59;40413
2.58;0.78;0.84;40617
3.91;0.68;0.74;40821
4.05;0.66;0.74;41025
5.11;0.68;0.74;41229
5.04;0.68;0.79;41433
5.37;0.77;0.84;41637
5.04;0.93;0.77;41841
4.88;1.37;0.61;42045
4.13;1.63;0.61;42249
4.05;1.55;0.70;42454
4.05;1.63;0.79;42658
3.91;1.63;1.01;42862
3.02;1.71;1.07;43066
2.28;1.92;0.87;43270
1.25;2.06;0.98;43474
1.86;2.83;1.96;43678
2.42;2.61;2.10;43882
2.84;2.11;1.51;44086
3.44;2.11;1.59;44291
3.39;1.76;1.37;44495
3.51;1.52;1.23;44699
4.05;1.84;1.07;44903
4.05;2.02;0.95;45107
4.34;1.84;0.84;45312
3.51;1.81;0.70;45516
2.91;1.72;0.65;45720
2.48;1.64;0.57;45924
2.69;1.42;0.61;46128
3.02;1.15;0.39;46332
3.02;0.81;0.39;46536
2.80;0.64;0.37;46740
2.69;0.60;0.17;46944
3.64;0.64;0.14;47149
3.39;0.78;0.09;47353
3.02;0.78;0.03;47557
2.69;0.83;0.03;47761
2.58;0.88;0.01;47965
2.28;0.78;0.00;48169
2.37;0.73;nan;48372
2.80;0.41;nan;48575
2.91;0.57;nan;48778
2.80;0.70;nan;48982
2.48;0.90;0.00;49186
2.28;0.99;nan;49389
2.52;0.99;nan;49592
2.32;0.88;0.03;49796
2.36;0.83;0.13;50000
2.94;0.88;0.20;50204
3.68;0.99;0.20;50408
5.06;0.99;0.26;50612
5.91;1.17;0.37;50817
5.73;1.11;0.17;51021
5.22;1.48;0.24;51225
5.13;1.80;0.41;51429
5.04;2.06;0.68;51633
5.61;1.83;1.10;51837
5.78;1.87;1.10;52041
5.78;2.23;0.82;52245
5.86;2.33;0.90;52449
6.12;2.79;1.26;52654
7.81;2.79;1.26;52858
8.15;3.19;1.47;53062
8.95;3.49;1.91;53266
9.08;3.89;2.28;53470
9.08;4.25;2.48;53675
8.30;4.48;2.98;53879
11.23;6.43;4.66;54083
11.94;6.54;4.90;54287
11.01;6.35;4.99;54491
11.54;6.65;4.93;54695
11.98;6.57;4.55;54899
11.98;6.96;5.61;55103
12.14;7.07;5.78;55307
12.59;7.19;5.71;55512
11.36;7.19;5.63;55716
11.36;7.10;5.73;55920
11.51;6.90;6.09;56124
10.72;7.02;5.84;56328
10.61;6.94;6.12;56532
9.61;6.55;5.94;56736
9.37;6.28;5.69;56940
8.90;6.47;5.27;57144
9.03;6.20;5.11;57348
8.57;6.02;5.04;57552
8.35;5.50;5.20;57756
7.70;5.50;4.88;57960
8.80;5.43;4.82;58164
8.35;5.09;4.51;58369
8.80;5.09;4.51;58573
8.26;5.09;4.51;58777
7.00;5.26;4.36;58981
7.20;4.62;4.16;59185
6.80;4.26;4.45;59389
6.80;4.47;4.16;59593
7.00;4.56;4.16;59797
7.20;4.56;3.82;60001
7.41;4.56;4.10;60206
7.20;4.56;4.10;60410
7.08;4.32;4.24;60614
7.49;4.78;4.24;60818
7.79;4.47;3.61;61022
6.97;3.90;3.61;61227
6.28;4.18;3.48;61431
5.37;2.95;2.35;61635
5.54;3.18;2.39;61839
7.75;3.11;1.92;62043
8.41;3.41;2.05;62247
8.31;4.07;2.37;62451
7.25;4.51;2.69;62655
6.85;3.88;2.80;62859
7.67;3.74;2.48;63064
8.44;3.74;2.09;63268
8.67;3.48;2.64;63472
9.75;4.30;2.75;63676
8.35;4.53;2.33;63880
9.03;3.82;2.33;64084
9.75;3.55;2.54;64288
8.80;4.38;2.97;64492
10.91;5.33;4.22;64696
10.39;5.67;4.07;64900
11.45;5.77;3.46;65104
11.33;5.77;3.72;65308
11.07;5.53;4.36;65512
10.70;5.87;3.93;65716
10.44;5.70;3.61;65921
10.44;5.63;2.99;66125
9.94;5.63;3.23;66329
9.11;5.63;3.16;66533
9.11;5.06;3.35;66737
8.88;5.06;3.61;66941
8.56;5.15;3.61;67145
7.90;4.99;3.18;67349
7.36;4.99;3.30;67553
7.56;4.23;3.30;67758
7.99;3.81;3.30;67962
7.36;3.17;2.83;68166
6.38;2.82;2.72;68370
6.38;2.65;2.12;68574
6.45;2.92;2.27;68779
7.44;2.69;2.57;68983
7.53;2.92;2.41;69187
8.61;3.65;2.41;69391
10.29;3.71;2.41;69595
10.54;5.19;2.51;69799
9.94;5.03;3.30;70003
9.21;5.36;3.18;70207
9.21;4.35;3.23;70411
9.69;4.20;2.35;70616
8.98;4.06;3.23;70820
9.94;4.12;3.23;71024
10.85;3.03;3.48;71228
11.65;3.20;3.96;71432
12.38;3.79;5.00;71636
11.98;3.27;5.19;71840
8.92;2.59;3.98;72044
9.53;2.28;4.06;72248
9.78;2.24;3.73;72452
10.02;2.05;3.87;72656
8.96;1.79;3.68;72860
7.85;2.54;2.94;73064
6.44;1.88;2.11;73268
7.23;1.88;2.50;73473
7.43;1.71;2.40;73677
6.26;1.63;2.82;73881
5.55;1.71;2.56;74085
4.00;1.55;2.56;74289
2.38;1.40;2.67;74493
1.74;1.16;2.67;74697
2.58;1.36;2.46;74901
4.40;1.58;3.12;75105
4.70;1.51;2.67;75310
3.97;1.43;2.78;75514
4.34;1.36;2.63;75718
4.79;1.43;2.32;75922
4.64;1.51;2.32;76126
4.05;1.43;1.94;76331
3.52;1.23;1.36;76535
3.65;0.98;1.18;76739
3.65;0.92;1.18;76943
3.78;0.92;1.22;77147
3.52;0.92;1.29;77351
3.78;0.79;1.36;77555
4.05;0.77;1.43;77759
4.20;0.69;1.22;77963
4.64;0.56;1.10;78168
4.34;0.69;0.98;78372
3.78;0.82;0.98;78576
3.65;1.12;0.98;78780
3.52;1.19;1.01;78984
4.05;1.16;1.13;79188
4.34;1.16;1.20;79392
4.25;1.36;1.07;79596
3.83;1.58;1.13;79800
3.57;1.66;0.95;80004
3.32;1.66;0.85;80208
3.75;1.63;0.87;80412
3.37;1.40;1.16;80616
3.00;1.33;1.10;80820
2.78;1.29;0.98;81025
2.26;1.29;0.87;81229
2.61;1.16;0.87;81433
2.94;1.04;0.69;81637
2.71;0.92;0.52;81841
2.54;0.87;0.48;82045
2.24;0.87;0.35;82249
1.91;0.87;0.36;82453
0.82;0.51;0.19;82657
0.60;0.38;0.18;82862
0.45;0.30;0.14;83066
0.58;0.25;0.06;83270
0.56;0.19;0.03;83474
0.60;0.12;0.00;83678
0.72;0.05;0.01;83883
0.98;0.14;0.00;84087
1.19;0.07;0.01;84291
1.33;0.07;0.02;84495
1.40;0.03;0.02;84699
1.33;0.11;0.00;84903
1.29;0.16;0.00;85107
1.16;0.20;0.03;85311
1.09;0.18;0.02;85515
1.43;0.39;0.11;85720
1.16;0.39;0.18;85924
1.06;0.36;0.24;86128
1.18;0.26;0.21;86332
1.32;0.17;0.21;86536
1.06;0.07;0.22;86740
0.94;0.07;0.19;86944
0.94;0.09;0.19;87148
1.00;0.07;0.19;87352
1.00;0.08;0.19;87556
1.12;0.10;0.16;87760
1.32;0.11;0.12;87964
1.35;0.08;0.06;88168
1.35;0.08;0.06;88372
1.49;0.09;0.06;88577
1.72;0.06;0.06;88781
2.11;0.05;0.06;88985
2.44;0.06;0.06;89189
2.19;0.08;0.05;89393
1.96;0.05;0.06;89597
1.91;0.06;0.06;89801
2.03;0.07;0.05;90005
1.77;0.09;0.06;90209
2.52;0.12;0.09;90414
2.73;0.21;0.11;90618
3.49;0.27;0.11;90822
3.76;0.48;0.11;91026
3.62;0.69;0.21;91230
3.49;0.76;0.30;91435
3.49;1.08;0.27;91639
3.18;1.21;0.25;91843
3.30;1.35;0.64;92047
3.23;1.28;0.73;92251
3.53;1.57;0.68;92455
3.72;1.52;0.80;92659
5.14;1.76;1.08;92863
5.47;1.31;1.14;93067
4.30;1.20;0.68;93272
4.15;1.63;0.87;93476
4.23;1.80;0.95;93680
3.81;1.76;0.76;93884
3.76;1.76;0.67;94088
3.70;1.64;0.76;94292
3.83;1.49;0.69;94496
4.11;1.35;0.48;94700
3.91;1.28;0.38;94904
3.91;1.39;0.16;95108
3.91;1.39;0.22;95312
4.48;1.32;0.29;95516
5.78;1.16;0.24;95720
5.89;1.25;0.22;95924
5.89;1.32;0.35;96129
7.54;1.69;0.84;96333
7.66;1.53;0.89;96537
8.98;1.69;1.08;96741
8.98;1.57;0.71;96945
8.89;1.94;1.11;97149
9.73;2.12;0.97;97353
9.98;3.07;1.02;97557
10.90;3.77;1.35;97761
10.02;4.13;1.42;97966
10.78;4.36;1.81;98170
10.94;4.81;2.42;98374
10.57;5.32;2.52;98578
10.57;5.25;2.96;98782
9.23;5.25;2.58;98987
10.20;4.55;2.75;99191
10.72;4.49;3.21;99395
9.95;4.64;3.16;99599
11.40;4.95;3.87;99803
12.23;4.79;3.87;100007
12.40;5.96;3.35;100211
12.00;6.44;3.81;100415
12.00;6.17;4.61;100619
11.88;6.47;3.97;100824
12.33;6.20;3.19;101028
11.49;5.50;3.91;101232
11.38;5.60;3.78;101436
10.59;5.70;3.59;101640
10.74;5.36;4.42;101844
10.23;4.87;4.28;102048
9.02;4.96;3.16;102252
8.11;4.29;2.81;102456
7.60;4.29;2.99;102660
8.69;3.60;2.55;102864
8.47;3.73;3.23;103068
9.88;3.81;2.83;103272
9.15;4.23;2.72;103476
7.11;3.55;2.17;103681
6.99;3.55;2.57;103885
7.11;3.17;2.79;104089
7.11;3.68;2.74;104293
6.91;3.81;2.63;104497
6.91;3.89;2.96;104701
6.91;4.03;2.53;104905
7.94;4.17;3.08;105109
7.94;4.31;3.03;105313
8.15;4.31;3.15;105518
8.37;4.77;3.40;105722
8.15;5.18;3.47;105926
8.15;5.35;4.44;106130
7.94;5.02;4.14;106334
7.72;4.95;4.14;106539
10.79;6.15;5.48;106743
9.78;5.97;5.32;106947
10.13;6.52;5.15;107151
10.64;6.41;5.48;107355
10.64;6.41;5.48;107559
10.38;6.79;5.55;107763
10.38;6.60;5.55;107967
10.38;6.33;4.96;108171
10.90;6.60;5.12;108376
11.43;6.60;4.50;108580
11.32;7.11;4.96;108784
11.59;7.31;4.50;108988
10.28;6.91;5.12;109192
10.68;6.26;5.80;109396
9.44;5.72;5.22;109600
9.20;5.55;4.37;109804
8.73;5.72;4.37;110008
7.94;5.21;4.52;110212
7.72;4.82;4.09;110416
7.11;4.67;3.75;110620
6.91;4.52;3.75;110824
6.60;4.37;3.49;111028
6.41;4.14;3.62;111233
6.22;3.86;3.75;111437
6.41;4.00;3.75;111641
7.60;3.72;3.49;111845
7.81;4.05;3.62;112049
7.69;4.20;3.75;112253
9.25;4.64;3.62;112457
8.79;4.49;3.89;112661
10.33;3.83;3.81;112865
10.33;4.70;3.68;113070
9.94;4.55;5.32;113274
12.33;5.35;6.38;113478
11.49;6.22;5.48;113682
12.33;6.12;5.15;113886
13.98;5.41;4.99;114091
12.21;4.09;4.09;114295
13.55;4.52;3.95;114499
13.25;5.41;2.98;114703
12.66;4.83;2.87;114907
12.55;5.66;3.34;115111
11.70;5.66;4.14;115315
11.43;5.94;4.14;115519
10.28;5.94;3.95;115723
9.39;5.41;3.95;115928
10.13;5.08;4.09;116132
10.38;4.92;3.81;116336
9.88;4.77;3.17;116540
9.88;4.61;3.55;116744
9.88;3.62;3.55;116948
9.63;3.12;3.29;117152
11.43;4.52;4.99;117356
13.73;4.83;4.99;117560
13.13;4.09;4.52;117764
12.38;3.81;3.87;117968
13.25;3.60;4.00;118172
14.98;5.06;4.59;118376
15.63;5.55;4.90;118580
16.16;6.45;4.29;118785
16.02;6.84;5.38;118989
16.56;7.56;5.06;119193
15.56;7.36;4.90;119397
16.22;7.27;5.12;119601
15.42;6.87;5.29;119805
16.09;6.99;5.29;120009
16.29;7.39;4.74;120213
15.62;7.39;5.22;120417
14.84;7.48;4.65;120622
13.60;6.49;4.35;120826
14.21;7.07;4.65;121030
14.21;7.39;4.87;121234
14.21;6.79;4.65;121438
13.90;6.41;3.98;121643
15.49;5.51;3.08;121847
14.21;5.41;5.98;122051
13.90;6.12;4.96;122255
13.60;5.58;4.80;122459
13.48;5.94;3.84;122663
13.78;5.94;3.65;122867
13.48;5.25;3.92;123071
13.48;4.77;3.79;123275
13.18;5.25;3.40;123480
12.31;5.25;3.73;123684
12.03;4.61;4.00;123888
12.03;4.55;2.87;124092
11.75;4.70;3.03;124296
12.59;5.02;2.87;124500
10.94;5.45;2.54;124704
7.51;4.05;1.55;124908
8.37;4.20;2.05;125112
8.15;4.28;1.88;125316
7.93;3.86;1.93;125520
8.15;4.28;2.20;125724
7.72;4.14;2.11;125928
6.90;4.14;2.78;126132
6.90;3.72;2.36;126337
6.40;4.08;2.26;126541
6.98;4.08;2.46;126745
7.18;4.22;2.46;126949
6.59;3.94;2.46;127153
7.26;3.67;2.56;127357
7.68;3.88;2.16;127561
7.26;4.02;2.07;127765
8.78;5.24;3.62;127969
8.55;5.24;3.44;128174
8.55;5.08;3.57;128378
9.01;5.14;3.57;128582
9.24;4.76;3.83;128786
9.01;5.14;3.44;128990
9.82;5.24;3.32;129195
9.82;5.93;3.78;129399
10.32;6.11;4.34;129603
10.43;5.65;4.64;129807
10.68;5.65;4.34;130011
12.60;5.38;3.70;130215
13.48;5.05;4.03;130419
13.97;5.72;4.03;130623
13.06;6.83;5.41;130827
13.06;6.37;5.41;131032
13.84;7.35;5.35;131236
12.94;7.35;5.02;131440
12.94;7.68;5.62;131644
11.81;7.06;6.22;131848
11.26;6.87;5.79;132052
11.81;6.29;5.28;132256
11.26;5.75;4.79;132460
11.10;5.93;4.05;132664
10.58;5.93;3.91;132868
10.94;5.65;4.20;133072
11.21;5.65;4.34;133276
11.48;6.08;4.40;133480
12.89;5.28;4.46;133684
12.60;5.51;4.46;133889
12.03;5.58;4.37;134093
11.21;6.49;4.14;134297
10.68;6.12;4.35;134501
10.28;5.58;4.65;134705
10.13;4.77;5.45;134909
11.32;4.99;5.29;135113
10.28;3.95;3.27;135317
11.59;4.23;3.71;135521
12.60;4.23;3.32;135726
12.20;5.48;3.32;135930
11.10;5.83;3.45;136134
11.64;5.25;3.32;136338
11.37;5.76;3.58;136542
11.81;6.22;3.98;136747
11.37;6.60;3.79;136951
13.24;6.04;3.65;137155
12.94;5.11;4.14;137359
12.37;5.51;5.38;137563
12.65;4.40;5.55;137767
12.25;5.11;5.66;137971
12.54;5.11;5.83;138175
15.49;5.97;7.07;138379
15.49;6.08;6.22;138584
15.16;5.55;5.86;138788
14.21;5.97;6.41;138992
12.71;5.28;7.11;139196
11.86;4.86;6.22;139400
10.52;4.95;6.79;139604
9.05;4.64;6.33;139808
9.38;4.25;7.31;140012
9.63;3.83;7.23;140216
9.97;3.97;6.26;140420
9.24;3.57;6.08;140624
8.33;3.70;5.90;140828
9.24;3.49;5.65;141032
9.24;3.37;5.65;141236
9.24;3.37;4.92;141441
9.24;3.68;4.16;141645
9.01;4.03;3.49;141849
9.01;4.31;3.17;142053
10.47;4.31;4.08;142257
10.32;4.17;3.67;142461
10.32;4.61;4.00;142665
8.87;3.55;4.14;142869
9.34;3.81;3.86;143073
9.82;4.00;3.65;143278
9.68;4.59;2.69;143482
10.68;4.90;3.78;143686
10.68;4.74;3.83;143890
10.94;4.65;4.11;144094
11.87;5.29;3.62;144299
12.60;5.29;4.03;144503
11.75;5.12;3.68;144707
11.48;5.87;3.81;144911
11.75;6.34;3.73;145115
12.03;6.34;4.65;145319
11.92;6.64;4.74;145523
11.21;7.04;5.06;145727
9.10;5.66;4.59;145931
9.34;5.32;4.23;146136
8.64;5.15;4.09;146340
7.55;5.25;4.23;146544
6.83;5.25;4.09;146748
6.83;4.77;4.17;146952
7.23;4.46;3.89;147156
7.43;4.17;3.75;147360
7.23;4.17;3.75;147564
6.08;4.25;3.62;147768
5.62;4.25;4.03;147972
6.71;3.57;3.62;148176
6.71;3.32;2.63;148380
5.79;3.75;2.63;148584
5.62;3.44;2.63;148788
5.97;4.86;3.32;148993
6.15;4.64;2.84;149197
6.22;3.78;2.13;149401
6.41;3.27;1.53;149605
6.60;3.52;1.53;149809
6.79;3.32;1.64;150013
6.60;3.27;1.81;150217
6.04;3.27;1.64;150421
6.22;2.69;1.49;150625
6.41;2.42;1.57;150830
7.48;2.22;1.72;151034
8.03;2.63;1.42;151238
8.69;2.63;1.08;151442
10.28;2.96;0.83;151646
11.59;2.89;1.24;151851
11.59;4.11;1.30;152055
14.09;5.69;2.11;152259
12.48;6.91;3.29;152463
10.07;6.44;4.09;152667
9.82;6.18;3.89;152871
9.97;5.65;3.62;153075
10.22;5.65;3.57;153279
8.78;6.00;4.40;153483
6.87;5.93;4.49;153688
7.55;5.08;3.91;153892
8.20;4.61;3.59;154096
7.35;4.76;2.98;154300
7.55;4.61;2.86;154504
7.76;4.76;2.86;154708
7.23;4.92;2.64;154912
8.51;4.46;2.75;155116
8.64;4.16;2.34;155320
9.10;4.22;1.91;155524
10.07;4.37;2.28;155728
9.48;4.82;2.58;155932
9.72;5.48;3.03;156136
9.97;5.41;3.57;156340
6.87;4.46;3.14;156545
6.11;4.31;3.14;156749
5.24;3.75;3.10;156953
5.82;3.12;3.10;157157
5.75;2.89;2.44;157361
6.48;2.77;1.87;157565
6.67;3.49;1.74;157769
6.79;3.44;1.71;157973
6.22;3.31;1.66;158177
6.40;3.56;1.40;158382
6.40;3.56;1.96;158586
6.22;3.78;1.47;158790
5.51;3.39;1.79;158994
5.68;3.26;1.20;159198
4.64;3.39;1.20;159403
6.04;4.19;2.14;159607
7.39;4.58;1.87;159811
7.30;4.58;2.24;160015
8.37;4.73;2.44;160219
7.72;5.54;2.20;160423
7.59;5.21;3.10;160627
8.24;5.04;3.54;160831
7.59;5.21;3.41;161035
7.72;4.88;3.80;161240
7.93;4.58;3.29;161444
7.30;4.43;3.29;161648
6.59;4.43;2.56;161852
6.79;4.58;2.46;162056
6.52;4.13;2.82;162260
7.39;4.28;3.12;162464
7.10;3.99;3.12;162668
6.79;4.58;2.82;162872
6.71;4.58;2.82;163076
6.98;4.73;3.05;163280
7.51;4.88;3.29;163484
7.93;5.04;3.54;163688
7.51;5.44;4.08;163892
7.59;4.88;3.59;164097
7.51;5.54;4.00;164301
7.51;5.21;3.86;164505
8.24;5.04;4.43;164709
8.37;4.79;4.37;164913
7.30;4.48;3.67;165117
7.10;4.95;3.54;165321
7.10;4.58;3.41;165525
7.10;4.43;3.05;165729
8.59;3.99;3.17;165934
7.93;4.13;2.50;166138
7.93;3.26;1.44;166342
8.06;3.26;0.95;166546
7.43;3.02;0.65;166750
5.44;2.27;0.19;166955
4.13;2.48;0.26;167159
4.19;1.82;0.34;167363
3.91;1.99;0.48;167567
4.79;1.99;0.65;167771
4.79;2.09;0.40;167975
4.70;2.18;0.55;168179
3.97;1.99;0.41;168383
3.97;1.94;0.90;168587
4.31;2.12;1.20;168792
4.82;2.12;1.20;168996
4.52;1.85;1.55;169200
4.82;1.89;1.40;169404
4.98;2.01;1.33;169608
5.05;2.10;1.33;169812
6.08;2.93;1.88;170016
6.26;2.86;2.15;170220
6.64;2.64;2.09;170424
6.83;3.03;1.74;170628
6.91;2.80;1.86;170832
6.71;2.84;1.81;171036
5.79;2.58;1.86;171240
5.97;2.84;1.90;171444
5.97;3.07;1.73;171649
5.45;2.73;1.81;171853
5.28;2.42;2.17;172057
5.51;2.52;1.95;172261
5.35;2.42;1.73;172465
5.18;2.13;1.35;172669
5.08;1.89;1.28;172873
3.95;1.98;1.19;173077
4.52;1.64;1.28;173281
4.00;1.45;1.65;173486
4.44;1.93;1.90;173690
4.50;1.76;1.49;173894
3.03;1.93;1.09;174098
1.86;1.17;1.42;174302
1.73;1.40;1.35;174507
2.72;1.40;0.97;174711
2.83;1.43;0.67;174915
2.99;1.16;0.73;175119
3.41;1.32;0.56;175323
3.66;1.57;0.56;175527
4.60;1.60;0.60;175731
6.10;1.60;0.88;175935
5.67;1.72;1.02;176139
5.23;1.88;1.14;176344
4.91;1.97;1.20;176548
5.57;1.97;1.23;176752
7.25;1.88;1.30;176956
7.46;1.75;1.33;177160
8.22;1.87;1.19;177364
6.89;1.87;0.67;177568
6.80;2.29;0.76;177772
6.42;2.60;1.00;177976
6.24;2.88;1.36;178180
6.53;3.06;1.91;178384
6.72;2.83;1.96;178588
7.32;2.79;2.05;178792
8.39;2.79;2.29;178996
7.44;2.79;2.29;179201
7.44;2.47;2.19;179405
9.45;2.68;1.97;179609
10.44;3.13;1.72;179813
10.33;4.04;1.80;180017
10.85;4.78;1.80;180221
11.38;4.87;2.45;180425
14.47;6.34;4.45;180629
14.79;5.36;4.16;180833
16.10;6.24;3.88;181038
16.64;7.20;2.66;181242
15.17;7.53;3.35;181446
15.49;7.95;4.16;181650
14.72;8.08;5.40;181854
15.04;8.98;5.16;182059
14.91;8.88;5.84;182263
13.97;8.56;6.50;182467
13.97;8.69;6.31;182671
13.36;8.69;6.61;182875
14.27;8.92;6.53;183079
15.75;8.83;6.92;183283
16.09;8.60;7.04;183487
17.12;8.92;7.04;183691
19.67;9.63;6.92;183896
18.40;9.88;6.72;184100
19.14;10.90;6.53;184304
17.32;11.32;8.39;184508
15.95;11.05;7.65;184712
16.63;10.43;8.08;184916
15.95;7.85;7.56;185120
20.29;9.68;7.15;185324
18.77;10.68;7.56;185528
21.72;10.07;11.00;185732
22.13;9.10;11.70;185936
20.37;11.53;9.78;186140
17.75;11.26;8.15;186344
17.04;10.47;8.37;186548
16.02;9.24;7.72;186753
18.84;9.97;8.60;186957
17.96;10.12;8.07;187161
17.04;9.87;6.83;187365
14.58;9.63;7.76;187569
14.90;9.38;7.14;187773
12.77;7.72;5.31;187977
11.10;7.51;5.82;188181
9.58;6.71;5.58;188385
10.07;6.14;5.24;188590
11.64;6.83;4.76;188794
12.48;6.44;5.34;188998
12.48;7.02;5.18;189202
11.47;7.02;5.34;189406
10.42;7.02;5.86;189611
11.21;7.02;6.22;189815
10.52;6.83;6.04;190019
10.52;6.71;6.04;190223
