S1;S2;S3;Millis
2.28;0.67;0.04;204
2.80;0.76;0.08;408
2.92;0.86;0.15;612
2.80;0.91;0.28;816
2.63;1.15;0.42;1020
2.42;1.15;0.45;1224
3.32;1.65;0.90;1428
2.85;1.35;0.84;1632
2.79;1.31;0.61;1837
2.68;1.18;0.45;2041
2.36;1.18;0.57;2245
2.61;1.24;0.53;2449
3.06;1.41;0.45;2653
2.95;1.56;0.72;2857
3.11;1.72;0.74;3061
4.91;1.41;0.95;3265
5.74;1.67;1.01;3469
5.74;2.19;1.36;3673
5.47;2.19;1.58;3877
6.74;2.05;1.58;4081
7.46;2.54;1.74;4285
6.85;3.09;1.91;4489
7.05;3.33;1.58;4694
5.92;3.41;1.91;4898
5.74;3.28;1.99;5102
5.57;3.16;1.99;5306
5.74;3.16;1.58;5510
5.74;3.21;2.09;5714
6.66;3.59;2.03;5918
6.28;3.72;1.94;6122
6.10;3.59;2.22;6326
5.47;3.59;2.73;6531
6.17;3.33;2.73;6735
6.94;2.97;2.73;6939
7.34;2.97;2.42;7143
7.46;3.46;2.32;7347
7.46;3.59;2.22;7552
8.54;3.59;2.22;7756
8.22;3.33;2.42;7960
8.22;3.33;2.22;8164
8.00;3.46;2.16;8368
7.79;3.59;2.07;8572
8.67;3.85;1.28;8776
6.02;2.54;1.21;8980
5.67;2.43;1.28;9184
4.91;1.74;1.28;9389
4.07;1.66;1.02;9593
4.28;1.86;1.15;9797
4.88;1.86;0.93;10001
4.88;2.13;0.99;10205
4.73;2.28;1.05;10409
4.42;2.48;1.17;10613
4.73;2.48;1.31;10817
5.11;2.33;1.11;11021
5.04;2.33;1.38;11225
5.37;2.43;1.31;11429
5.89;2.43;1.45;11633
5.64;2.43;1.21;11837
6.94;3.33;1.72;12041
7.14;3.09;1.49;12246
7.25;2.29;1.35;12450
7.25;2.43;1.05;12654
7.37;2.33;1.42;12858
7.37;2.33;1.08;13062
7.17;2.75;1.11;13266
7.37;2.64;1.17;13470
7.37;2.75;1.17;13674
6.58;2.14;0.80;13878
6.39;2.14;1.08;14083
6.39;1.87;1.14;14287
6.47;1.62;1.14;14491
6.10;1.74;1.02;14695
5.64;1.91;1.08;14899
5.20;1.82;1.14;15104
5.20;1.69;0.66;15308
4.88;1.77;0.57;15512
4.49;1.64;0.55;15716
4.25;1.72;0.82;15920
4.46;1.76;0.93;16124
4.46;1.76;0.61;16328
3.95;1.84;0.70;16532
4.68;1.55;1.03;16736
5.66;1.67;1.03;16941
5.66;1.83;0.97;17145
5.91;1.92;1.03;17349
7.16;2.10;0.92;17553
7.57;2.64;0.81;17757
7.36;2.97;1.22;17961
8.12;2.91;1.12;18165
8.34;3.14;1.25;18369
8.24;3.14;1.25;18573
8.46;3.59;1.46;18777
9.15;3.99;1.89;18981
9.29;4.13;2.32;19185
7.10;3.28;1.32;19389
6.82;3.53;1.57;19593
6.63;3.74;1.69;19798
6.17;3.48;1.86;20002
5.47;3.55;1.99;20206
5.14;3.12;2.27;20410
5.30;3.12;2.14;20614
5.30;2.78;2.05;20818
5.14;2.84;1.75;21022
4.66;2.73;1.51;21226
4.36;2.62;1.51;21430
4.22;2.37;1.41;21635
4.36;2.37;1.48;21839
5.92;2.28;1.31;22043
5.74;2.09;1.11;22247
6.66;3.02;1.52;22451
5.50;2.80;1.45;22656
4.10;2.37;1.31;22860
4.10;2.28;1.17;23064
