point1;point2;point3;time
6.79;3.41;1.69;204
6.40;3.59;1.53;408
5.34;2.64;1.53;612
5.51;2.54;1.53;816
5.34;2.75;1.25;1020
5.75;2.86;1.21;1224
6.67;2.75;1.49;1428
6.87;2.86;1.21;1632
7.06;3.59;1.49;1837
6.87;3.59;1.35;2041
6.48;3.46;1.76;2245
6.67;3.59;1.81;2449
6.29;3.46;1.89;2653
6.67;3.34;1.89;2857
6.29;3.21;1.98;3061
5.41;3.34;2.07;3265
5.24;3.21;2.07;3469
6.48;3.59;2.46;3673
6.29;3.86;2.46;3877
6.48;3.59;1.98;4081
6.48;4.00;2.36;4285
6.29;4.00;2.36;4489
5.75;4.14;2.67;4694
4.92;4.00;2.63;4898
4.82;3.46;2.84;5102
5.14;3.59;2.63;5306
5.14;3.34;2.32;5510
4.98;3.46;2.13;5714
4.82;3.46;2.32;5918
5.05;3.46;2.13;6122
4.89;3.29;1.77;6326
4.73;3.34;1.69;6531
4.64;2.98;1.86;6735
4.64;2.75;1.94;6939
4.55;2.91;1.86;7143
4.61;3.14;1.89;7347
4.52;2.84;1.81;7552
5.06;2.73;1.72;7756
4.80;2.56;1.68;7960
5.70;2.71;1.71;8164
7.20;2.91;1.88;8368
7.41;3.07;1.74;8572
7.41;3.24;1.86;8776
7.41;3.49;2.31;8980
7.82;3.75;2.51;9184
7.82;3.94;2.55;9389
7.00;4.22;2.66;9593
8.71;4.37;2.55;9797
8.71;4.37;3.11;10001
8.84;4.89;2.93;10205
8.61;5.48;3.53;10409
8.39;5.65;3.80;10613
7.32;4.46;3.53;10817
7.04;4.31;2.99;11021
7.04;4.46;2.99;11225
6.45;4.31;3.23;11429
5.90;4.16;3.48;11633
5.73;3.83;3.35;11837
6.16;3.70;2.99;12041
6.45;3.56;2.95;12246
6.08;3.56;2.66;12450
6.27;3.70;2.35;12654
6.45;3.56;2.55;12858
6.08;3.44;2.35;13062
6.34;3.44;2.35;13266
7.24;3.14;2.25;13470
7.65;3.56;2.66;13674
9.45;5.01;3.48;13878
8.88;5.01;3.23;14083
8.20;5.27;3.74;14287
