Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,arc_length,epsilon,k,nut,p,vtkValidPointMask
696,4.93204,0.500003,0.239405,4.9631,9.85971,0.00940573,-0.0311629,9.85977,6.97507,1.13909,0.422571,0.0141097,1.56132,1
697,4.94206,0.500003,0.239394,4.97305,9.86177,0.00929261,-0.0306552,9.86183,6.98509,1.13013,0.420154,0.0140593,1.55332,1
698,4.95208,0.500003,0.239383,4.98301,9.86383,0.00917948,-0.0301475,9.86388,6.99511,1.12116,0.417736,0.014009,1.54532,1
699,4.9621,0.500003,0.239372,4.99297,9.86579,0.00907283,-0.0296779,9.86584,7.00513,1.11243,0.415361,0.0139589,1.53757,1
700,4.97213,0.500003,0.239361,5.00293,9.86772,0.0089671,-0.0292043,9.86777,7.01515,1.10379,0.413006,0.0139093,1.52987,1
701,4.98215,0.500003,0.23935,5.01289,9.86965,0.00886137,-0.0287308,9.8697,7.02518,1.09514,0.410651,0.0138596,1.52217,1
702,4.99217,0.500003,0.239339,5.02285,9.87159,0.0087555,-0.0282644,9.87163,7.0352,1.08644,0.408282,0.0138097,1.51446,1
703,5.00219,0.500003,0.239328,5.03281,9.8734,0.00865668,-0.0278226,9.87345,7.04522,1.0781,0.405987,0.0137607,1.50703,1
704,5.01221,0.500003,0.239316,5.04277,9.87521,0.00855788,-0.0273806,9.87526,7.05524,1.06976,0.403692,0.0137118,1.4996,1
705,5.02223,0.500003,0.239305,5.05273,9.87703,0.00845908,-0.0269387,9.87707,7.06526,1.06141,0.401397,0.0136628,1.49217,1
706,5.03226,0.500003,0.239294,5.06269,9.87883,0.00836079,-0.026507,9.87887,7.07528,1.05305,0.399095,0.0136136,1.48476,1
707,5.04228,0.500003,0.239283,5.07265,9.88054,0.00826844,-0.0260944,9.88057,7.08531,1.045,0.396858,0.0135653,1.47759,1
708,5.0523,0.500003,0.239272,5.08261,9.88224,0.00817609,-0.0256818,9.88227,7.09533,1.03695,0.394622,0.0135171,1.47042,1
709,5.06232,0.500003,0.239261,5.09258,9.88394,0.00808375,-0.0252692,9.88397,7.10535,1.02889,0.392385,0.0134688,1.46324,1
710,5.07234,0.500003,0.23925,5.10254,9.88562,0.00799248,-0.0248692,9.88566,7.11537,1.02085,0.390146,0.0134203,1.45611,1
711,5.08236,0.500003,0.239239,5.1125,9.88722,0.00790613,-0.0244839,9.88725,7.12539,1.01308,0.387966,0.0133727,1.44917,1
712,5.09239,0.500003,0.239227,5.12246,9.88881,0.00781977,-0.0240985,9.88885,7.13541,1.0053,0.385786,0.0133251,1.44223,1
713,5.10241,0.500003,0.239216,5.13242,9.89041,0.00773341,-0.0237132,9.89044,7.14544,0.99753,0.383606,0.0132776,1.4353,1
714,5.11243,0.500003,0.239205,5.14239,9.89198,0.00764862,-0.0233424,9.89201,7.15546,0.98979,0.381428,0.0132298,1.42842,1
715,5.12245,0.500003,0.239194,5.15235,9.89348,0.0075678,-0.0229824,9.89351,7.16548,0.982284,0.379303,0.0131829,1.42169,1
716,5.13247,0.500003,0.239183,5.16231,9.89498,0.00748697,-0.0226223,9.89501,7.1755,0.974777,0.377177,0.0131359,1.41497,1
717,5.14249,0.500003,0.239172,5.17228,9.89648,0.00740616,-0.0222623,9.8965,7.18552,0.967271,0.375051,0.013089,1.40825,1
718,5.15251,0.500003,0.239161,5.18224,9.89794,0.00732729,-0.0219185,9.89797,7.19554,0.959821,0.372933,0.0130419,1.4016,1
719,5.16254,0.500003,0.23915,5.1922,9.89935,0.00725155,-0.0215819,9.89938,7.20557,0.952571,0.37086,0.0129957,1.39507,1
720,5.17256,0.500003,0.239138,5.20217,9.90076,0.00717581,-0.0212454,9.90078,7.21559,0.945321,0.368787,0.0129494,1.38854,1
721,5.18258,0.500003,0.239127,5.21213,9.90216,0.00710008,-0.0209088,9.90219,7.22561,0.93807,0.366714,0.0129031,1.38202,1
722,5.1926,0.500003,0.239116,5.2221,9.90353,0.00702659,-0.0205899,9.90356,7.23563,0.930897,0.364653,0.0128567,1.37558,1
723,5.20262,0.500003,0.239105,5.23206,9.90485,0.0069555,-0.0202751,9.90488,7.24565,0.923892,0.362631,0.012811,1.36923,1
724,5.21265,0.500003,0.239094,5.24203,9.90618,0.00688441,-0.0199604,9.9062,7.25567,0.916887,0.360609,0.0127654,1.36288,1
725,5.22267,0.500003,0.239083,5.25199,9.9075,0.00681331,-0.0196456,9.90752,7.2657,0.909882,0.358588,0.0127197,1.35654,1
726,5.23269,0.500003,0.239072,5.26196,9.90878,0.0067447,-0.0193496,9.9088,7.27572,0.902974,0.356582,0.012674,1.35028,1
727,5.24271,0.500003,0.239061,5.27192,9.91002,0.00667782,-0.0190551,9.91004,7.28574,0.896204,0.354609,0.012629,1.3441,1
728,5.25273,0.500003,0.239049,5.28189,9.91126,0.00661096,-0.0187606,9.91128,7.29576,0.889435,0.352637,0.0125839,1.33792,1
729,5.26275,0.500003,0.239038,5.29185,9.9125,0.00654408,-0.0184661,9.91252,7.30578,0.882666,0.350665,0.0125389,1.33174,1
730,5.27277,0.500003,0.239027,5.30182,9.91369,0.00647983,-0.0181912,9.91371,7.3158,0.87601,0.348712,0.0124939,1.32565,1
731,5.2828,0.500003,0.239016,5.31179,9.91486,0.00641678,-0.0179155,9.91488,7.32583,0.869467,0.346787,0.0124494,1.31962,1
732,5.29282,0.500003,0.239005,5.32175,9.91603,0.00635372,-0.0176398,9.91605,7.33585,0.862923,0.344863,0.012405,1.31358,1
733,5.30284,0.500003,0.238994,5.33172,9.91719,0.00629066,-0.0173641,9.91721,7.34587,0.85638,0.342939,0.0123605,1.30754,1
734,5.31286,0.500003,0.238983,5.34169,9.91831,0.00623031,-0.0171087,9.91833,7.35589,0.849966,0.341038,0.0123162,1.30161,1
735,5.32288,0.500003,0.238971,5.35165,9.91941,0.00617068,-0.0168505,9.91942,7.36591,0.843639,0.33916,0.0122723,1.29571,1
